strategy,label_ratio,runs,accuracy_mean,accuracy_std,macro_f1_mean,aulc_mean,aulc_std
entropy,0.01,3,0.8556,0.005819793810780633,0.8540426187722413,0.01758283333333333,5.18587826055844e-05
entropy,0.02,3,0.8817666666666666,0.0033545988334423692,0.8833397854223225,0.01758283333333333,5.18587826055844e-05
entropy,0.03,3,0.8974333333333333,0.002653927906581736,0.8981673217642024,0.01758283333333333,5.18587826055844e-05
random,0.01,3,0.8556,0.005819793810780633,0.8540426187722413,0.01756933333333333,0.00010740383295456893
random,0.02,3,0.8811333333333332,0.006478682993736677,0.8799684965939641,0.01756933333333333,0.00010740383295456893
random,0.03,3,0.896,0.004430575583375126,0.8957517004906369,0.01756933333333333,0.00010740383295456893
uncertainty_diversity,0.01,3,0.8556,0.005819793810780633,0.8540426187722413,0.017753,3.9949968710875235e-05
uncertainty_diversity,0.02,3,0.8950666666666667,0.0005773502691896423,0.8953071616553272,0.017753,3.9949968710875235e-05
uncertainty_diversity,0.03,3,0.9048666666666666,0.0010214368964029693,0.9053936405192893,0.017753,3.9949968710875235e-05
